	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
mani	-0.7779096	-0.84450126	1.4691705	-1.0651349	1.1087265	0.037198834	0.27439812	-0.97213894	0.86636794	1.0915848	0.20279044	0.56222105	0.41607177	0.73042226	1.0123944	0.2965259	-0.7996969	0.6087162	-0.8697997	-0.6319423	0.12463453	-0.5779842	-1.0134976	0.33417624	-0.1847059	-1.0763893	-1.1838412	-1.3290746	0.83932054	0.37870252	0.23047104	-0.9927194	0.74017644	1.0621097	0.39193243	0.1472832	1.1541376	0.5910747	-0.12791549	-0.19803497	0.6182033	-0.48315865	0.7962855	-0.7864462	-0.33726984	-1.0783846	-0.8565249	-0.92409265	0.5606605	-0.56074965
long	-0.45083448	-0.46876252	0.9217247	-0.9031175	2.0386207	-0.6585743	-0.23768984	-1.0637045	1.4101506	0.077808954	0.67880666	1.290242	0.78327405	-0.20867051	1.0478137	0.049007162	-1.1161467	0.48785585	-0.052491754	0.2695967	-0.121452846	-0.52997243	-1.5792623	0.792835	-0.23879015	0.4089074	-0.20922905	-0.59601045	0.22500111	0.07030475	-0.25564298	0.012215473	0.025974661	0.41765678	-0.43713823	1.2409849	0.8256315	0.01435139	-1.1409192	-0.11309923	0.43373835	-0.08057642	0.115503155	-0.45396975	0.4357978	-0.6247709	-0.04346198	-1.5986421	1.7131417	-1.4302092
know	-0.6975441	-1.1098759	0.6328211	-0.64645064	1.0698963	0.35823238	0.041463986	-0.63069075	1.3220863	0.4980926	0.66207755	0.55167484	0.86823833	0.9519303	0.7731332	0.5133214	-0.76330215	0.8783821	-0.42451155	-0.9824845	0.08284585	-0.20937519	-0.8863044	0.5862382	-0.6311072	0.009759957	-1.1919868	-1.1114842	0.85342455	0.6823998	0.05027761	-0.9584281	0.26339966	1.1987923	0.2166021	0.5681465	0.9771578	0.30210698	-1.1607099	-0.12471026	1.0666581	-0.36046904	-0.124853596	-0.8281294	0.20306283	-1.0062609	-0.8447586	-0.85242	0.24204913	-0.801558
injur	-1.7400808	-1.55253	0.5027072	-0.32164013	0.30050159	-0.8392755	0.83362234	-0.28137806	0.8392595	0.9980353	-0.46852463	0.17371377	1.045994	0.36892086	0.6017879	0.70218694	-0.98760295	0.873056	-0.53547704	-1.8705547	-0.25403643	-0.537589	-1.2489616	0.7070731	-0.13932352	-1.356246	-0.56575227	-1.3705671	0.5880319	-0.2163744	0.4756099	-0.18736696	0.57559806	0.44640842	-1.6320118	0.9181795	0.6180425	0.1848195	-1.2448142	-0.09689522	0.97666097	-0.2362856	0.57155424	-0.10161306	-1.6539335	-0.38277256	-0.7079767	-0.9370631	0.34231567	-0.10789386
told	-0.41189498	-1.2160887	0.31745645	-1.8363669	0.07111899	1.1150243	-0.57208604	-0.47316116	1.0154235	-0.14632222	0.9679878	0.8944225	1.2806168	0.73516023	0.19298357	1.1177644	-1.3017136	1.3061774	-0.14049348	-0.57931656	-0.09451582	0.2626731	-0.51074755	0.48861364	-0.5661931	-0.5167511	0.055179156	0.08757576	0.34401312	0.11593923	-0.58089614	-0.46772254	0.2331435	1.7070385	-0.11956827	1.2604468	1.0277771	0.32739156	0.09460802	-1.2177446	1.6430634	-0.2323562	-0.27401415	-0.6496265	0.1641973	-0.49874532	-0.6454576	0.044561632	0.033811197	0.48152202
exact	0.10426682	-0.57708085	0.91095257	-0.7247958	0.4453334	0.18451953	-0.21222395	-0.5587156	0.6362857	0.5699391	0.16720028	0.9454832	0.31737584	0.83360106	0.8766182	0.48220485	-0.68795633	0.8709799	-0.34355006	-0.24098569	-0.20969713	-0.18677977	-0.6195905	0.032026	-0.52846104	-0.10295741	-0.9007286	-0.8386204	0.9350797	0.057778835	-0.094158806	-0.60374975	0.38101828	1.3318737	0.3756102	0.50724334	0.8341466	-0.12075407	-0.779332	-0.5685007	0.35848814	-0.43643326	-0.030297637	-0.45648623	0.11126459	-0.4541872	-1.1658083	-0.80227625	-0.18529236	-0.92005193
these	-0.22214404	-0.7441754	0.8112154	-1.2584572	0.9686539	-0.4134677	0.27482367	-0.8202616	0.48350096	0.8593513	-0.044706598	1.0365609	0.748072	1.1208637	0.87806153	1.2737887	-1.0742888	0.73557115	-1.0663967	-0.35092247	-0.2760335	0.28250307	-0.9672305	0.7391468	-0.4505803	0.12576377	-1.1035426	-1.2235632	0.4581048	0.33732992	-0.058476422	-1.3483623	0.5811035	1.1451405	-0.12998867	0.6619559	1.0238456	0.55227065	-1.1307895	-0.680367	0.5891167	-0.29238063	0.7134257	-1.0181272	0.27200502	-0.9783134	-0.8481847	-0.31137007	-0.016544018	-0.7953163
never	-0.59148943	-1.288403	0.27817053	-1.2259424	0.5551077	0.22129905	-0.17566413	-0.8377459	1.3228998	1.093791	0.70635164	0.5917599	0.67956495	0.92273116	0.5055307	1.0917184	-1.1814134	1.0665832	-0.8842879	-0.64946926	0.049458377	0.24362558	-0.76266044	0.42502153	-0.18563104	-0.3427235	-1.3229531	-0.9982697	0.99626195	0.6341804	-0.19549447	-0.73021036	0.47506428	0.67467046	0.29059163	0.67202276	0.8865136	0.47800788	0.012689484	-0.33231986	0.77976215	-0.47754765	0.021238048	-0.6385114	0.8185714	-0.8101368	-0.48969862	-0.7851764	0.068320006	-0.43442658
it	-0.7040942	-1.088949	1.2388974	-1.1571088	1.0714107	0.33618456	0.13304716	-0.9276459	1.0765133	0.88255167	0.27131838	0.9725851	1.2000157	1.1478566	1.0707489	0.90628076	-1.0746062	0.9496169	-1.0332493	-1.2211976	0.21367034	-0.026188195	-1.138384	0.6256328	-1.1469603	-0.1855326	-1.3487463	-1.029227	1.022187	0.38820207	-0.08402187	-1.1341894	0.23538098	1.133565	0.79968894	0.9676759	1.0694673	0.41368413	-1.2825582	-0.8174771	1.0355673	-0.26954293	0.38880205	-1.4245524	0.17080012	-1.0369234	-1.083579	-1.073194	-0.07475821	-1.0514172
said	-0.46338755	-0.82486355	0.6008025	-1.7280927	1.1280506	0.35820895	-0.42600143	-0.78248346	0.98809814	0.7805536	0.7917721	0.89422524	1.1350148	0.65413773	0.91798997	0.42789355	-1.1869116	1.1497576	-0.02008348	-0.49053517	-0.1564245	0.39116967	0.0081732925	0.5294151	-0.42245513	-0.47395676	-0.3324029	-0.96800566	0.90701425	0.77554923	-0.062421948	-0.47860354	0.27836227	1.2301098	0.09771691	0.71052396	0.58424795	0.34917367	-0.79328626	-0.5682813	1.1767306	-0.49428475	-0.5926976	-0.61524284	-0.48829076	-0.88474965	-0.88586503	-0.7561773	-0.22335099	-0.6306566
